TIPO_REG,PAIS,P_DEPTO,P_MUNIC,UC_UO,ENCUESTA,COD_VEREDA,ID_MAQ,P_S9P118,P_S9P119,P_S9P120
9,170,19,19001,00440000,082026484,19001002,1,441230300,2,0
9,170,19,19001,00440001,000114593,19001022,1,9999999915,1,0
9,170,19,19001,00440001,022713322,19001002,1,9999999915,1,0
9,170,19,19001,00440001,022713322,19001002,3,441230300,2,0
9,170,19,19001,00441014,000114596,19001022,1,9999999915,1,0
9,170,19,19001,00450000,081334541,19001017,1,9999999915,1,1
9,170,19,19001,00450000,081334731,19001017,1,441230401,1,0
9,170,19,19001,00460000,001526395,19001019,1,9999999915,2,0
9,170,19,19001,00460000,081234929,19001022,1,441230300,0,1
9,170,19,19001,00460000,081526291,19001001,1,9999999915,0,1
9,170,19,19001,00460000,082026511,19001017,1,441230300,1,0
9,170,19,19001,00460000,082026526,19001017,1,432320300,1,0
9,170,19,19001,00460000,082026532,19001017,1,441230300,1,0
9,170,19,19001,00460000,082026532,19001017,3,432320300,1,0
9,170,19,19001,00460000,087026508,19001017,1,9999999915,0,1
9,170,19,19001,00470000,002024554,19001017,1,441230300,1,0
9,170,19,19001,00470000,002024554,19001017,3,432320300,1,0
9,170,19,19001,00470000,081301509,19001017,1,441230300,1,0
9,170,19,19001,00470000,081411700,19001017,1,432320300,1,0
9,170,19,19001,00470000,081411700,19001017,3,441230300,1,0
9,170,19,19001,00470001,000114522,19001022,1,9999999915,0,12
9,170,19,19001,00480000,081234992,19001022,1,441230300,1,0
9,170,19,19001,00480000,081526301,19001001,1,441230401,0,1
9,170,19,19001,00480000,081526301,19001001,3,441230300,0,2
9,170,19,19001,00480000,081526301,19001001,4,432200900,0,1
9,170,19,19001,00480000,081586088,19001022,1,,,
9,170,19,19001,00480000,082065035,19001999,1,441230300,0,1
9,170,19,19001,00480001,000114488,19001022,1,9999999915,0,10
9,170,19,19001,00480001,000114530,19001022,1,,,
9,170,19,19001,00482162,000114489,19001022,1,9999999915,0,10
9,170,19,19001,00490000,007274432,19001006,1,,,
9,170,19,19001,00490000,081207645,19001018,1,,,
9,170,19,19001,00490000,081334495,19001017,1,441230401,0,1
9,170,19,19001,00490000,082065034,19001999,1,441500300,0,1
9,170,19,19001,00494683,000114831,19001004,1,,,
9,170,19,19001,00500000,081207729,19001022,1,,,
9,170,19,19001,00510000,001334547,19001016,1,441230300,1,0
9,170,19,19001,00510000,082024579,19001002,1,9999999915,0,1
9,170,19,19001,00510001,000113784,19001019,1,9999999915,0,1
9,170,19,19001,00520001,000114599,19001022,1,9999999915,1,0
9,170,19,19001,00520001,000114599,19001022,3,0,1,0
9,170,19,19001,00520001,000114599,19001022,4,441230300,1,0
9,170,19,19001,00521846,000114602,19001022,1,0,0,1
9,170,19,19001,00521846,000114602,19001022,3,9999999915,0,1
9,170,19,19001,00522943,000114611,19001022,1,9999999915,0,1
9,170,19,19001,00523694,000114610,19001022,1,9999999915,1,0
9,170,19,19001,00530000,081063055,19001012,1,9999999915,1,0
9,170,19,19001,00532144,000114891,19001012,1,,,
9,170,19,19001,00570000,001526358,19001020,1,441500300,1,0
9,170,19,19001,00570000,001567951,19001020,1,,,
9,170,19,19001,00570000,081221605,19001022,1,9999999915,0,1
9,170,19,19001,00580001,000113888,19001010,1,461130100,0,1
9,170,19,19001,00580001,000113888,19001010,3,441230401,0,1
9,170,19,19001,00590001,000113930,19001010,1,441230300,1,0
9,170,19,19001,00590001,000113930,19001010,3,432200900,0,1
9,170,19,19001,00600000,082025585,19001004,1,441230300,1,0
9,170,19,19001,00600001,000114834,19001004,1,441230401,1,0
9,170,19,19001,00602489,000114419,19001008,1,,,
9,170,19,19001,00604467,000114452,19001008,1,,,
9,170,19,19001,00610000,002026058,19001019,1,441230300,0,1
9,170,19,19001,00610000,002026058,19001019,3,441230401,0,1
9,170,19,19001,00610001,000113725,19001019,1,441230300,0,1
9,170,19,19001,00610001,000113725,19001019,3,461130100,0,1
9,170,19,19001,00620000,002064926,19001007,1,9999999915,1,0
9,170,19,19001,00620000,081526305,19001008,1,9999999915,0,1
9,170,19,19001,00620000,081568538,19001003,1,,,
9,170,19,19001,00620000,082026223,19001001,1,441230300,1,0
9,170,19,19001,00620000,082026223,19001001,3,432320300,1,0
9,170,19,19001,00620001,000114153,19001008,1,9999999915,0,1
9,170,19,19001,00620001,022712930,19001010,1,9999999915,0,1
9,170,19,19001,00640000,082026201,19001001,1,9999999915,0,2
9,170,19,19001,00640000,082026201,19001001,3,441230300,1,0
9,170,19,19001,00650000,081301551,19001002,1,9999999915,1,0
9,170,19,19001,00650000,081410642,19001022,1,9999999915,1,0
9,170,19,19001,00650000,089334496,19001017,1,,,
9,170,19,19001,00650001,022712926,19001010,1,9999999915,0,1
9,170,19,19001,00660000,081526246,19001012,1,9999999915,0,2
9,170,19,19001,00660000,082024511,19001002,1,441230300,0,1
9,170,19,19001,00660001,022712913,19001010,1,9999999915,0,1
9,170,19,19001,00670000,081221831,19001012,1,9999999915,0,1
9,170,19,19001,00670001,000114702,19001012,1,444120200,0,1
9,170,19,19001,00670001,000114702,19001012,2,444120200,0,1
9,170,19,19001,00672440,000115025,19001012,1,,,
9,170,19,19001,00674115,000114873,19001012,1,,,
9,170,19,19001,00674862,000115006,19001012,1,,,
9,170,19,19001,00680000,082024510,19001002,1,441230300,0,1
9,170,19,19001,00690000,002025779,19001007,1,9999999915,0,2
9,170,19,19001,00690000,002025779,19001007,3,441230300,1,0
9,170,19,19001,00690001,000114200,19001001,1,441410100,0,3
9,170,19,19001,00710000,002025072,19001007,1,9999999915,0,1
9,170,19,19001,00710000,002025072,19001007,3,441230300,0,1
9,170,19,19001,00710000,081526367,19001018,1,441230300,2,0
9,170,19,19001,00720000,002025038,19001007,1,441230300,0,1
9,170,19,19001,00730000,081382448,19001013,1,432320300,1,0
9,170,19,19001,00730000,082024431,19001020,1,9999999915,0,1
9,170,19,19001,00730000,082065003,19001002,1,441230300,1,0
9,170,19,19001,00740000,002024522,19001009,1,432320300,0,1
9,170,19,19001,00740000,002025596,19001006,1,441230300,0,1
9,170,19,19001,00740000,002025833,19001009,1,9999999915,1,0
9,170,19,19001,00740000,002065198,19001007,1,9999999915,0,1
9,170,19,19001,00740000,081274331,19001010,1,,,
9,170,19,19001,00740000,081526282,19001004,1,441500300,1,0
9,170,19,19001,00740001,000113996,19001004,1,9999999915,0,1
9,170,19,19001,00740001,000113996,19001004,2,441500300,1,0
9,170,19,19001,00740001,000114816,19001006,1,441230300,0,1
9,170,19,19001,00750000,002065139,19001009,1,9999999915,1,1
9,170,19,19001,00750000,082065128,19001009,1,9999999915,1,0
9,170,19,19001,00750001,000114231,19001008,1,9999999915,0,1
9,170,19,19001,00760000,082026465,19001020,1,441310100,1,0
9,170,19,19001,00760000,082026465,19001020,3,441230401,0,1
9,170,19,19001,00760000,088207782,19001018,1,,,
9,170,19,19001,00760000,088207783,19001018,1,,,
9,170,19,19001,00760000,088274076,19001020,1,,,
9,170,19,19001,00760001,000114230,19001008,1,441230300,2,0
9,170,19,19001,00760001,000114704,19001012,1,,,
9,170,19,19001,00770000,001221663,19001009,1,9999999915,0,1
9,170,19,19001,00770000,081207472,19001018,1,,,
9,170,19,19001,00770000,081273791,19001009,1,,,
9,170,19,19001,00770000,082025866,19001009,1,9999999915,0,1
9,170,19,19001,00770001,000113995,19001009,1,9999999915,0,1
9,170,19,19001,00780000,002025035,19001007,1,9999999915,0,1
9,170,19,19001,00780000,081062993,19001010,1,441230300,1,0
9,170,19,19001,00780000,081410632,19001022,1,441310100,1,0
9,170,19,19001,00780001,000115008,19001012,1,,,
9,170,19,19001,00781389,000115009,19001012,1,,,
9,170,19,19001,00781624,000115013,19001012,1,,,
9,170,19,19001,00783032,000115015,19001012,1,,,
9,170,19,19001,00784917,000115014,19001012,1,,,
9,170,19,19001,00789291,000115012,19001012,1,,,
9,170,19,19001,00790000,002025831,19001009,1,9999999915,0,1
9,170,19,19001,00790000,002025832,19001009,1,9999999915,1,0
9,170,19,19001,00790000,081207990,19001004,1,,,
9,170,19,19001,00790000,082026077,19001002,1,432200900,0,1
9,170,19,19001,00800000,081207991,19001004,1,,,
9,170,19,19001,00800000,081568824,19001009,1,,,
9,170,19,19001,00800000,082065041,19001002,1,441230300,0,1
9,170,19,19001,00800000,082065041,19001002,3,441500300,0,1
9,170,19,19001,00810001,000115002,19001012,1,,,
9,170,19,19001,00815670,000115003,19001012,1,,,
9,170,19,19001,00830000,000114198,19001004,1,441500300,1,
9,170,19,19001,00830000,001062897,19001015,1,441500300,1,0
9,170,19,19001,00830000,001410688,19001015,1,441230300,1,0
9,170,19,19001,00830000,001410732,19001015,1,432200900,1,0
9,170,19,19001,00830000,001410740,19001015,1,441230300,1,1
9,170,19,19001,00830000,001410740,19001015,3,432320300,0,1
9,170,19,19001,00830000,001410750,19001018,1,441230300,1,0
9,170,19,19001,00830000,002025654,19001015,1,,,
9,170,19,19001,00830000,002026249,19001015,1,,,
9,170,19,19001,00830000,002065092,19001015,1,441230300,1,0
9,170,19,19001,00830000,002065096,19001015,1,,,
9,170,19,19001,00830000,002065097,19001015,1,441230300,1,0
9,170,19,19001,00830000,003035804,19001015,1,,,
9,170,19,19001,00830000,007410771,19001015,1,,,
9,170,19,19001,00830000,081062897,19001015,1,441230300,1,0
9,170,19,19001,00830000,081207872,19001015,1,,,
9,170,19,19001,00830000,081273046,19001015,1,,,
9,170,19,19001,00830000,081382461,19001015,1,441230300,1,0
9,170,19,19001,00830000,081382714,19001015,1,432320300,1,0
9,170,19,19001,00830000,081382721,19001015,1,441230300,1,0
9,170,19,19001,00830000,081382721,19001015,3,432320300,1,0
9,170,19,19001,00830000,081382723,19001015,1,,,
9,170,19,19001,00830000,081410686,19001015,1,441230300,1,0
9,170,19,19001,00830000,081526375,19001015,1,441230300,0,14
9,170,19,19001,00830000,081526375,19001015,3,432320300,5,0
9,170,19,19001,00830000,081526383,19001015,1,441230300,5,0
9,170,19,19001,00830000,081526383,19001015,3,432320300,5,0
9,170,19,19001,00830000,082025573,19001015,1,441230401,0,1
9,170,19,19001,00830000,082025644,19001015,1,441230300,0,5
9,170,19,19001,00830000,082025644,19001015,3,432320300,5,0
9,170,19,19001,00830000,082025650,19001015,1,441230300,0,5
9,170,19,19001,00830000,082026043,19001015,1,441230300,0,1
9,170,19,19001,00830000,082026147,19001015,1,441230300,0,1
9,170,19,19001,00830000,082026147,19001015,3,432320300,0,1
9,170,19,19001,00830001,000114107,19001008,1,491100000,0,1
9,170,19,19001,00830001,000114107,19001008,3,491100000,0,1
9,170,19,19001,00830001,000114107,19001008,4,444120200,0,1
9,170,19,19001,00840000,087274127,19001009,1,,,
9,170,19,19001,00850000,081063110,19001011,1,441230300,1,0
9,170,19,19001,00850001,000113999,19001004,1,471500200,0,1
9,170,19,19001,00860000,002025134,19001007,1,9999999915,0,1
9,170,19,19001,00860000,081207594,19001004,1,,,
9,170,19,19001,00870000,081410619,19001022,1,441230401,0,1
9,170,19,19001,00880000,081207347,19001011,1,,,
9,170,19,19001,00880000,082026469,19001022,1,9999999915,1,0
9,170,19,19001,00890000,081207603,19001006,1,,,
9,170,19,19001,00890000,088273963,19001013,1,,,
9,170,19,19001,00900000,081221841,19001023,1,9999999915,1,1
9,170,19,19001,00900000,081221841,19001023,3,441230300,1,0
9,170,19,19001,00900000,082024653,19001002,1,9999999915,0,1
9,170,19,19001,00900000,082024762,19001022,1,9999999915,0,1
9,170,19,19001,00900000,082024825,19001002,1,9999999915,0,1
9,170,19,19001,00910000,088235175,19001011,1,441230300,1,0
9,170,19,19001,00910001,000114717,19001006,1,,,
9,170,19,19001,00910001,000114822,19001011,1,441230300,1,0
9,170,19,19001,00919360,000114718,19001006,1,,,
9,170,19,19001,00930000,081410713,19001003,1,432320300,1,0
9,170,19,19001,00940000,081301272,19001005,1,441230300,0,2
