,DPTO_CCDGO,MPIO_CNMBR,MPIO_CCNCT,DPTO_CNMBR,MPM,MPM_CAB,MPM_CPRD,AFBMO_TOT,AFBMO_CAB,AFBMO_CPRD,BLE_TOT,BLE_CAB,BLE_CPRD,BSCPI_TOT,BSCPI_CAB,BSCPI_CPRD,BASS_TOT,BASS_CAB,BASS_CPRD,TDE_TOT,TDE_CAB,TDE_CPRD,HC_TOT,HC_CAB,HC_CPRD,IEE_TOT,IEE_CAB,IEE_CPRD,IE_TOT,IE_CAB,IE_CPRD,MIPE_TOT,MIPE_CAB,MIPE_CPRD,MIP_TOT,MIP_CAB,MIP_CPRD,RE_TOT,RE_CAB,RE_CPRD,SAFAM_TOT,SAFAM_CAB,SAFAM_CPRD,SAS_TOT,SAS_CAB,SAS_CPRD,TRINF_TOT,TRINF_CAB,TRINF_CPRD,TRIML_TOT,TRIML_CAB,TRIML_CPRD,Municipality code
145,52,LINARES,52411,NARIÑO,32.9,16.6,37.3,17.9,9.7,20.5,76.7,51.9,84.5,0.5,0.6,0.5,6.0,3.4,6.8,35.5,31.8,36.6,8.7,11.8,7.7,14.1,5.7,16.7,3.1,0.8,3.9,0.3,0.2,0.3,14.6,1.3,18.8,14.1,10.0,15.4,9.2,1.3,11.7,5.5,8.4,4.6,2.2,0.6,2.7,91.4,81.8,94.4,52411
146,52,YACUANQUER,52885,NARIÑO,44.2,28.7,51.3,18.1,11.4,21.3,73.9,51.1,84.7,1.0,0.7,1.1,13.4,13.4,13.4,45.7,47.9,44.7,12.4,18.5,9.6,10.9,5.3,13.5,2.6,0.6,3.6,0.2,0.3,0.1,40.6,12.4,53.9,18.4,14.9,20.0,6.7,0.4,9.7,9.0,13.3,7.0,1.3,0.4,1.7,88.3,83.0,90.8,52885
147,52,MALLAMA,52435,NARIÑO,39.0,19.9,42.1,14.8,9.5,15.7,70.0,54.0,72.8,1.3,1.2,1.3,1.7,2.2,1.6,42.8,32.8,44.5,7.0,12.2,6.2,51.4,11.0,58.4,3.4,3.9,3.3,1.0,3.7,0.5,5.6,1.2,6.3,14.7,8.8,15.8,21.7,4.9,24.6,9.0,13.2,8.3,0.8,0.7,0.8,90.1,84.8,91.0,52435
148,52,LA CRUZ,52378,NARIÑO,27.8,18.2,35.7,18.1,11.2,23.6,70.1,50.9,85.5,0.5,0.5,0.5,2.8,0.5,4.6,39.9,41.2,38.9,9.2,14.0,5.4,3.4,2.0,4.5,3.4,2.5,4.1,0.0,0.0,0.0,23.6,5.9,37.8,9.9,6.5,12.6,1.5,0.7,2.1,6.6,10.7,3.4,0.9,0.3,1.4,92.4,88.4,95.6,52378
149,52,LA FLORIDA,52381,NARIÑO,59.0,39.5,63.9,21.6,9.7,24.7,77.0,50.8,83.8,0.6,0.8,0.6,4.3,3.1,4.6,66.7,84.9,62.0,12.5,23.2,9.7,60.0,15.4,71.6,2.4,1.4,2.7,1.7,5.2,0.8,59.3,33.2,66.1,11.6,6.9,12.8,5.9,1.8,6.9,7.5,12.3,6.3,0.5,0.0,0.6,94.1,94.8,93.9,52381
150,52,EL TAMBO,52260,NARIÑO,31.9,20.8,38.8,15.9,9.5,20.1,74.0,52.8,87.6,0.6,0.5,0.7,1.5,2.8,0.6,37.9,47.1,32.0,11.4,15.2,9.0,8.6,4.3,11.4,3.0,1.1,4.3,1.0,1.2,0.9,28.9,6.3,43.4,10.9,7.4,13.1,14.8,1.7,23.2,6.8,9.0,5.4,2.3,0.3,3.6,91.3,87.1,94.0,52260
151,52,FUNES,52287,NARIÑO,41.1,30.8,49.6,18.1,14.5,20.9,75.3,63.6,84.2,0.7,0.7,0.7,12.0,7.9,15.2,41.1,41.3,40.9,14.0,22.7,7.4,18.8,5.5,28.9,3.1,1.5,4.3,0.2,0.0,0.4,51.7,29.5,68.6,12.2,13.1,11.6,10.7,1.0,18.0,6.0,8.8,3.9,1.0,0.6,1.3,91.4,88.6,93.5,52287
152,52,GUACHUCAL,52317,NARIÑO,30.4,16.6,33.0,16.7,6.9,18.9,72.7,50.0,77.6,1.3,0.9,1.4,1.3,0.8,1.4,48.9,38.8,51.0,9.2,15.7,7.8,10.3,4.5,11.6,3.0,1.4,3.3,0.3,0.3,0.3,13.1,12.1,13.4,9.2,3.7,10.3,7.2,2.0,8.4,8.7,11.8,8.1,0.8,0.3,0.8,93.1,91.0,93.6,52317
153,52,LA UNIÓN,52399,NARIÑO,48.6,24.8,64.4,17.9,10.4,23.3,67.5,49.7,80.2,1.1,1.0,1.2,3.4,4.2,2.8,52.6,44.7,58.2,11.1,15.1,8.2,49.4,4.8,81.4,3.9,2.3,5.0,1.6,1.9,1.3,36.9,6.3,58.9,13.0,12.4,13.5,39.7,2.9,66.0,9.1,10.6,8.1,1.1,0.5,1.5,93.4,88.8,96.7,52399
154,52,GUAITARILLA,52320,NARIÑO,33.6,22.5,40.3,13.1,10.7,14.6,78.3,62.0,88.5,0.6,0.5,0.6,6.2,5.8,6.5,32.3,34.5,30.8,12.0,14.3,10.6,7.2,2.4,10.3,3.1,2.2,3.7,0.1,0.3,0.0,35.9,9.7,52.2,15.6,13.1,17.2,3.3,0.2,5.3,5.3,6.9,4.3,1.8,1.0,2.3,91.8,86.9,94.8,52320
